# Beast App - Program Import Template
#
# Формат: День,Название тренировки,Примечания
#
# ИНСТРУКЦИИ:
# - Первая строка должна содержать заголовки: Day,Workout Name,Notes
# - День - это порядковый номер дня в программе (1, 2, 3, ...)
# - Название тренировки - точное название видео/тренировки
# - Примечания (опционально) - дополнительная информация
# - Строки, начинающиеся с #, игнорируются (это комментарии)
# - Пустые строки игнорируются
# - Для дней отдыха используйте "Rest Day" в названии тренировки
#
# ПРИМЕР ИСПОЛЬЗОВАНИЯ:
# Скопируйте эту структуру и заполните своими данными.
# После заполнения удалите все строки с # (комментарии) или оставьте их - они будут проигнорированы.
#
# ВАЖНО:
# - Каждая программа должна иметь уникальное название
# - Дни должны идти по порядку начиная с 1
# - Можно пропускать дни - это будут дни отдыха
#
# =====================================================
# НАЧАЛО ДАННЫХ
# =====================================================

Day,Workout Name,Notes
1,Chest and Triceps,Focus on form
2,Back and Biceps,Heavy weights
3,Legs,Don't skip leg day!
4,Shoulders,
5,Rest Day,Recovery day
6,Chest and Back,Superset workout
7,Arms,Biceps and triceps
8,Rest Day,
9,Legs and Shoulders,
10,Full Body,Light weights

# =====================================================
# КОНЕЦ ПРИМЕРА
# =====================================================
#
# ДОПОЛНИТЕЛЬНЫЕ СОВЕТЫ:
#
# 1. Для программ на 90 дней просто продолжайте нумерацию до 90
# 2. Можно разбить по фазам (Phase 1: Days 1-30, Phase 2: Days 31-60, etc.)
# 3. Если тренировка повторяется, просто копируйте название точно так же
# 4. Для кардио используйте единый формат, например "Cardio - HIIT" или "Cardio - Steady State"
# 5. Длинные названия допустимы, но старайтесь делать их понятными
#
# ПРИМЕРЫ ПОПУЛЯРНЫХ ПРОГРАММ:
#
# Body Beast (90 дней):
# - Phase 1: Build (Weeks 1-3)
# - Phase 2: Bulk (Weeks 4-8)
# - Phase 3: Beast (Weeks 9-13)
#
# P90X (90 дней):
# - Phase 1: Weeks 1-3 (базовые тренировки)
# - Recovery Week: Week 4
# - Phase 2: Weeks 5-7 (усложнение)
# - Recovery Week: Week 8
# - Phase 3: Weeks 9-13 (максимальная интенсивность)
#
# =====================================================
# После заполнения сохраните файл и импортируйте через приложение
# =====================================================

